image_path,label,date,time,location,precipitation,cloud_cover,wind_speed
dataset\sunny\Ho_Chi_Minh_City_2013-01-29.jpg,sunny,2013-01-29,10:00,Ho_Chi_Minh_City,0.0,48.0,1.17
dataset\rainy\Hanoi_2015-09-03.jpg,rainy,2015-09-03,10:00,Hanoi,9.0,100.0,1.78
dataset\rainy\Hue_2013-04-12.jpg,rainy,2013-04-12,10:00,Hue,2.3,91.0,5.07
dataset\cloudy\Ho_Chi_Minh_City_2013-02-02.jpg,cloudy,2013-02-02,10:00,Ho_Chi_Minh_City,0.0,93.0,1.3
dataset\cloudy\Ho_Chi_Minh_City_2013-02-06.jpg,cloudy,2013-02-06,10:00,Ho_Chi_Minh_City,0.0,94.0,1.43
dataset\sunny\Ho_Chi_Minh_City_2013-01-30.jpg,sunny,2013-01-30,10:00,Ho_Chi_Minh_City,0.0,19.0,1.62
dataset\sunny\Ho_Chi_Minh_City_2013-01-31.jpg,sunny,2013-01-31,10:00,Ho_Chi_Minh_City,0.0,4.0,2.4
dataset\rainy\Hue_2013-05-05.jpg,rainy,2013-05-05,10:00,Hue,4.1,87.0,1.9
dataset\cloudy\Ho_Chi_Minh_City_2013-02-07.jpg,cloudy,2013-02-07,10:00,Ho_Chi_Minh_City,0.0,98.0,1.58
dataset\rainy\Hue_2013-09-21.jpg,rainy,2013-09-21,10:00,Hue,4.9,100.0,1.75
dataset\cloudy\Ho_Chi_Minh_City_2013-02-08.jpg,cloudy,2013-02-08,10:00,Ho_Chi_Minh_City,0.0,99.0,1.49
dataset\rainy\Hue_2013-10-02.jpg,rainy,2013-10-02,10:00,Hue,4.0,100.0,3.47
dataset\cloudy\Ho_Chi_Minh_City_2013-02-11.jpg,cloudy,2013-02-11,10:00,Ho_Chi_Minh_City,0.0,100.0,1.62
dataset\sunny\Ho_Chi_Minh_City_2013-02-01.jpg,sunny,2013-02-01,10:00,Ho_Chi_Minh_City,0.0,4.0,0.64
dataset\sunny\Ho_Chi_Minh_City_2013-02-04.jpg,sunny,2013-02-04,10:00,Ho_Chi_Minh_City,0.0,0.0,4.44
dataset\sunny\Ho_Chi_Minh_City_2013-02-05.jpg,sunny,2013-02-05,10:00,Ho_Chi_Minh_City,0.0,12.0,2.6
dataset\cloudy\Ho_Chi_Minh_City_2013-02-14.jpg,cloudy,2013-02-14,10:00,Ho_Chi_Minh_City,0.0,100.0,0.6
dataset\rainy\Hue_2013-11-06.jpg,rainy,2013-11-06,10:00,Hue,3.4,96.0,5.99
dataset\rainy\Hue_2013-10-19.jpg,rainy,2013-10-19,10:00,Hue,3.9,58.0,4.15
dataset\cloudy\Ho_Chi_Minh_City_2013-02-15.jpg,cloudy,2013-02-15,10:00,Ho_Chi_Minh_City,0.0,85.0,1.56
dataset\sunny\Ho_Chi_Minh_City_2013-02-09.jpg,sunny,2013-02-09,10:00,Ho_Chi_Minh_City,0.0,12.0,3.28
dataset\sunny\Ho_Chi_Minh_City_2013-02-10.jpg,sunny,2013-02-10,10:00,Ho_Chi_Minh_City,0.0,23.0,0.54
dataset\rainy\Hue_2013-11-07.jpg,rainy,2013-11-07,10:00,Hue,3.8,99.0,4.71
dataset\sunny\Ho_Chi_Minh_City_2013-02-12.jpg,sunny,2013-02-12,10:00,Ho_Chi_Minh_City,0.0,0.0,2.4
dataset\cloudy\Ho_Chi_Minh_City_2013-02-21.jpg,cloudy,2013-02-21,10:00,Ho_Chi_Minh_City,0.0,100.0,0.54
dataset\sunny\Ho_Chi_Minh_City_2013-02-13.jpg,sunny,2013-02-13,10:00,Ho_Chi_Minh_City,0.0,0.0,1.2
dataset\cloudy\Ho_Chi_Minh_City_2013-02-22.jpg,cloudy,2013-02-22,10:00,Ho_Chi_Minh_City,0.0,100.0,2.82
dataset\cloudy\Ho_Chi_Minh_City_2013-02-20.jpg,cloudy,2013-02-20,10:00,Ho_Chi_Minh_City,0.0,91.0,1.9
dataset\cloudy\Ho_Chi_Minh_City_2013-02-24.jpg,cloudy,2013-02-24,10:00,Ho_Chi_Minh_City,0.0,70.0,1.3
dataset\sunny\Ho_Chi_Minh_City_2013-02-16.jpg,sunny,2013-02-16,10:00,Ho_Chi_Minh_City,0.0,41.0,2.12
dataset\rainy\Hue_2014-04-04.jpg,rainy,2014-04-04,10:00,Hue,4.3,98.0,2.84
dataset\rainy\Hue_2013-12-01.jpg,rainy,2013-12-01,10:00,Hue,2.1,100.0,5.01
dataset\sunny\Ho_Chi_Minh_City_2013-02-17.jpg,sunny,2013-02-17,10:00,Ho_Chi_Minh_City,0.0,50.0,0.5
dataset\cloudy\Ho_Chi_Minh_City_2013-02-27.jpg,cloudy,2013-02-27,10:00,Ho_Chi_Minh_City,0.0,66.0,3.95
dataset\rainy\Hue_2014-04-30.jpg,rainy,2014-04-30,10:00,Hue,2.5,67.0,1.7
dataset\rainy\Hue_2014-10-07.jpg,rainy,2014-10-07,10:00,Hue,2.6,72.0,5.53
dataset\sunny\Ho_Chi_Minh_City_2013-02-18.jpg,sunny,2013-02-18,10:00,Ho_Chi_Minh_City,0.0,11.0,3.13
dataset\cloudy\Ho_Chi_Minh_City_2013-03-02.jpg,cloudy,2013-03-02,10:00,Ho_Chi_Minh_City,0.0,80.0,4.22
dataset\rainy\Hue_2014-11-13.jpg,rainy,2014-11-13,10:00,Hue,3.4,82.0,5.39
dataset\rainy\Hue_2014-10-23.jpg,rainy,2014-10-23,10:00,Hue,2.9,93.0,2.69
dataset\cloudy\Ho_Chi_Minh_City_2013-03-03.jpg,cloudy,2013-03-03,10:00,Ho_Chi_Minh_City,0.0,97.0,3.11
dataset\sunny\Ho_Chi_Minh_City_2013-02-28.jpg,sunny,2013-02-28,10:00,Ho_Chi_Minh_City,0.0,12.0,3.81
dataset\sunny\Ho_Chi_Minh_City_2013-02-26.jpg,sunny,2013-02-26,10:00,Ho_Chi_Minh_City,0.0,19.0,1.7
dataset\sunny\Ho_Chi_Minh_City_2013-02-25.jpg,sunny,2013-02-25,10:00,Ho_Chi_Minh_City,0.0,35.0,1.28
dataset\cloudy\Ho_Chi_Minh_City_2013-03-10.jpg,cloudy,2013-03-10,10:00,Ho_Chi_Minh_City,0.0,68.0,2.69
dataset\rainy\Hue_2014-12-08.jpg,rainy,2014-12-08,10:00,Hue,2.3,100.0,4.43
dataset\rainy\Hue_2014-12-16.jpg,rainy,2014-12-16,10:00,Hue,2.3,100.0,5.32
dataset\cloudy\Ho_Chi_Minh_City_2013-03-08.jpg,cloudy,2013-03-08,10:00,Ho_Chi_Minh_City,0.0,85.0,2.2
dataset\sunny\Ho_Chi_Minh_City_2013-03-01.jpg,sunny,2013-03-01,10:00,Ho_Chi_Minh_City,0.0,5.0,4.17
dataset\cloudy\Ho_Chi_Minh_City_2013-03-12.jpg,cloudy,2013-03-12,10:00,Ho_Chi_Minh_City,0.0,68.0,3.33
dataset\sunny\Ho_Chi_Minh_City_2013-03-04.jpg,sunny,2013-03-04,10:00,Ho_Chi_Minh_City,0.0,2.0,1.26
dataset\cloudy\Ho_Chi_Minh_City_2013-03-14.jpg,cloudy,2013-03-14,10:00,Ho_Chi_Minh_City,0.0,72.0,2.97
dataset\sunny\Ho_Chi_Minh_City_2013-03-05.jpg,sunny,2013-03-05,10:00,Ho_Chi_Minh_City,0.0,41.0,0.73
dataset\cloudy\Ho_Chi_Minh_City_2013-03-19.jpg,cloudy,2013-03-19,10:00,Ho_Chi_Minh_City,0.0,74.0,1.98
dataset\rainy\Hue_2015-03-25.jpg,rainy,2015-03-25,10:00,Hue,2.8,84.0,4.95
dataset\sunny\Ho_Chi_Minh_City_2013-03-06.jpg,sunny,2013-03-06,10:00,Ho_Chi_Minh_City,0.0,0.0,1.49
dataset\rainy\Hue_2015-09-14.jpg,rainy,2015-09-14,10:00,Hue,6.7,100.0,8.11
dataset\cloudy\Ho_Chi_Minh_City_2013-03-22.jpg,cloudy,2013-03-22,10:00,Ho_Chi_Minh_City,0.0,69.0,2.62
dataset\rainy\Hue_2015-11-05.jpg,rainy,2015-11-05,10:00,Hue,2.7,99.0,2.94
dataset\cloudy\Ho_Chi_Minh_City_2013-03-24.jpg,cloudy,2013-03-24,10:00,Ho_Chi_Minh_City,0.0,83.0,1.22
dataset\cloudy\Ho_Chi_Minh_City_2013-03-25.jpg,cloudy,2013-03-25,10:00,Ho_Chi_Minh_City,0.1,71.0,0.89
dataset\sunny\Ho_Chi_Minh_City_2013-03-09.jpg,sunny,2013-03-09,10:00,Ho_Chi_Minh_City,0.0,58.0,2.51
dataset\sunny\Ho_Chi_Minh_City_2013-03-11.jpg,sunny,2013-03-11,10:00,Ho_Chi_Minh_City,0.0,28.0,2.88
dataset\rainy\Tay_Ninh_2013-11-15.jpg,rainy,2013-11-15,10:00,Tay_Ninh,5.4,100.0,1.91
dataset\rainy\Da_Lat_2015-10-15.jpg,rainy,2015-10-15,10:00,Da_Lat,3.4,99.0,1.5
dataset\rainy\Tay_Ninh_2014-07-08.jpg,rainy,2014-07-08,10:00,Tay_Ninh,5.5,87.0,5.07
dataset\sunny\Ho_Chi_Minh_City_2013-03-13.jpg,sunny,2013-03-13,10:00,Ho_Chi_Minh_City,0.0,26.0,0.67
dataset\cloudy\Ho_Chi_Minh_City_2013-03-27.jpg,cloudy,2013-03-27,10:00,Ho_Chi_Minh_City,0.1,92.0,1.34
dataset\rainy\Vinh_Long_2013-04-13.jpg,rainy,2013-04-13,10:00,Vinh_Long,4.2,100.0,4.41
dataset\sunny\Ho_Chi_Minh_City_2013-03-16.jpg,sunny,2013-03-16,10:00,Ho_Chi_Minh_City,0.0,30.0,2.36
dataset\sunny\Ho_Chi_Minh_City_2013-03-15.jpg,sunny,2013-03-15,10:00,Ho_Chi_Minh_City,0.0,6.0,2.82
dataset\rainy\Vinh_Long_2013-07-21.jpg,rainy,2013-07-21,10:00,Vinh_Long,2.6,99.0,4.06
dataset\cloudy\Ho_Chi_Minh_City_2013-03-28.jpg,cloudy,2013-03-28,10:00,Ho_Chi_Minh_City,0.0,79.0,2.7
dataset\rainy\Vinh_Long_2013-06-19.jpg,rainy,2013-06-19,10:00,Vinh_Long,2.6,100.0,4.33
dataset\rainy\Vinh_Long_2014-08-05.jpg,rainy,2014-08-05,10:00,Vinh_Long,3.1,100.0,3.0
dataset\sunny\Ho_Chi_Minh_City_2013-03-17.jpg,sunny,2013-03-17,10:00,Ho_Chi_Minh_City,0.0,3.0,2.25
dataset\cloudy\Ho_Chi_Minh_City_2013-03-31.jpg,cloudy,2013-03-31,10:00,Ho_Chi_Minh_City,0.1,80.0,3.13
dataset\rainy\Vinh_Long_2014-10-18.jpg,rainy,2014-10-18,10:00,Vinh_Long,2.6,43.0,2.02
dataset\cloudy\Ho_Chi_Minh_City_2013-04-02.jpg,cloudy,2013-04-02,10:00,Ho_Chi_Minh_City,0.0,91.0,3.67
dataset\rainy\Vinh_Long_2014-11-01.jpg,rainy,2014-11-01,10:00,Vinh_Long,4.2,89.0,3.16
dataset\cloudy\Ho_Chi_Minh_City_2013-04-05.jpg,cloudy,2013-04-05,10:00,Ho_Chi_Minh_City,0.0,93.0,2.25
dataset\rainy\Vinh_Long_2015-09-08.jpg,rainy,2015-09-08,10:00,Vinh_Long,3.6,100.0,2.44
dataset\sunny\Ho_Chi_Minh_City_2013-03-18.jpg,sunny,2013-03-18,10:00,Ho_Chi_Minh_City,0.0,20.0,1.84
dataset\cloudy\Ho_Chi_Minh_City_2013-04-07.jpg,cloudy,2013-04-07,10:00,Ho_Chi_Minh_City,0.0,97.0,1.7
dataset\sunny\Ho_Chi_Minh_City_2013-03-20.jpg,sunny,2013-03-20,10:00,Ho_Chi_Minh_City,0.0,44.0,2.2
dataset\sunny\Ho_Chi_Minh_City_2013-03-21.jpg,sunny,2013-03-21,10:00,Ho_Chi_Minh_City,0.0,33.0,1.35
dataset\rainy\Vinh_Long_2015-09-22.jpg,rainy,2015-09-22,10:00,Vinh_Long,4.1,73.0,2.98
dataset\cloudy\Ho_Chi_Minh_City_2013-04-09.jpg,cloudy,2013-04-09,10:00,Ho_Chi_Minh_City,0.2,97.0,2.69
dataset\cloudy\Ho_Chi_Minh_City_2013-04-10.jpg,cloudy,2013-04-10,10:00,Ho_Chi_Minh_City,0.0,98.0,3.32
dataset\cloudy\Ho_Chi_Minh_City_2013-04-11.jpg,cloudy,2013-04-11,10:00,Ho_Chi_Minh_City,0.0,99.0,1.8
dataset\sunny\Ho_Chi_Minh_City_2013-03-26.jpg,sunny,2013-03-26,10:00,Ho_Chi_Minh_City,0.0,22.0,2.39
dataset\rainy\Ben_Tre_2013-05-08.jpg,rainy,2013-05-08,10:00,Ben_Tre,3.6,96.0,3.05
dataset\rainy\Vinh_Long_2015-11-05.jpg,rainy,2015-11-05,10:00,Vinh_Long,2.7,82.0,1.22
dataset\sunny\Ho_Chi_Minh_City_2013-03-30.jpg,sunny,2013-03-30,10:00,Ho_Chi_Minh_City,0.1,31.0,3.02
dataset\sunny\Ho_Chi_Minh_City_2013-03-29.jpg,sunny,2013-03-29,10:00,Ho_Chi_Minh_City,0.0,52.0,2.5
dataset\sunny\Ho_Chi_Minh_City_2013-04-01.jpg,sunny,2013-04-01,10:00,Ho_Chi_Minh_City,0.0,15.0,3.32
dataset\cloudy\Ho_Chi_Minh_City_2013-04-12.jpg,cloudy,2013-04-12,10:00,Ho_Chi_Minh_City,0.3,100.0,1.34
dataset\rainy\Ben_Tre_2013-06-03.jpg,rainy,2013-06-03,10:00,Ben_Tre,3.6,92.0,2.91
dataset\rainy\Ben_Tre_2013-06-05.jpg,rainy,2013-06-05,10:00,Ben_Tre,3.3,100.0,2.42
dataset\sunny\Ho_Chi_Minh_City_2013-04-03.jpg,sunny,2013-04-03,10:00,Ho_Chi_Minh_City,0.0,37.0,3.04
dataset\cloudy\Ho_Chi_Minh_City_2013-04-13.jpg,cloudy,2013-04-13,10:00,Ho_Chi_Minh_City,0.4,100.0,3.1
dataset\cloudy\Ho_Chi_Minh_City_2013-04-14.jpg,cloudy,2013-04-14,10:00,Ho_Chi_Minh_City,0.0,82.0,2.42
dataset\rainy\Ben_Tre_2013-09-13.jpg,rainy,2013-09-13,10:00,Ben_Tre,2.1,93.0,2.5
dataset\sunny\Ho_Chi_Minh_City_2013-04-04.jpg,sunny,2013-04-04,10:00,Ho_Chi_Minh_City,0.0,37.0,2.75
dataset\cloudy\Ho_Chi_Minh_City_2013-04-18.jpg,cloudy,2013-04-18,10:00,Ho_Chi_Minh_City,0.1,94.0,2.51
dataset\rainy\Ben_Tre_2014-10-18.jpg,rainy,2014-10-18,10:00,Ben_Tre,3.1,45.0,3.47
dataset\cloudy\Ho_Chi_Minh_City_2013-04-19.jpg,cloudy,2013-04-19,10:00,Ho_Chi_Minh_City,0.0,61.0,1.6
dataset\sunny\Ho_Chi_Minh_City_2013-04-06.jpg,sunny,2013-04-06,10:00,Ho_Chi_Minh_City,0.0,21.0,2.44
dataset\sunny\Ho_Chi_Minh_City_2013-04-15.jpg,sunny,2013-04-15,10:00,Ho_Chi_Minh_City,0.0,47.0,3.5
dataset\rainy\Ben_Tre_2014-11-01.jpg,rainy,2014-11-01,10:00,Ben_Tre,5.0,91.0,3.01
dataset\cloudy\Ho_Chi_Minh_City_2013-04-20.jpg,cloudy,2013-04-20,10:00,Ho_Chi_Minh_City,0.0,100.0,2.12
dataset\rainy\Ben_Tre_2015-09-08.jpg,rainy,2015-09-08,10:00,Ben_Tre,5.3,100.0,2.42
dataset\cloudy\Ho_Chi_Minh_City_2013-04-21.jpg,cloudy,2013-04-21,10:00,Ho_Chi_Minh_City,0.0,99.0,3.14
dataset\rainy\Ben_Tre_2015-11-05.jpg,rainy,2015-11-05,10:00,Ben_Tre,2.1,97.0,1.21
dataset\sunny\Ho_Chi_Minh_City_2013-04-17.jpg,sunny,2013-04-17,10:00,Ho_Chi_Minh_City,0.0,19.0,2.4
dataset\sunny\Ho_Chi_Minh_City_2013-04-16.jpg,sunny,2013-04-16,10:00,Ho_Chi_Minh_City,0.0,57.0,3.68
dataset\cloudy\Ho_Chi_Minh_City_2013-04-22.jpg,cloudy,2013-04-22,10:00,Ho_Chi_Minh_City,0.0,99.0,2.4
dataset\rainy\Quang_Nam_2013-07-24.jpg,rainy,2013-07-24,10:00,Quang_Nam,4.8,100.0,0.32
dataset\rainy\Quang_Nam_2013-07-20.jpg,rainy,2013-07-20,10:00,Quang_Nam,6.5,100.0,1.43
dataset\sunny\Ho_Chi_Minh_City_2013-04-25.jpg,sunny,2013-04-25,10:00,Ho_Chi_Minh_City,0.1,31.0,2.95
dataset\sunny\Ho_Chi_Minh_City_2013-04-29.jpg,sunny,2013-04-29,10:00,Ho_Chi_Minh_City,0.3,55.0,2.97
dataset\sunny\Ho_Chi_Minh_City_2013-05-01.jpg,sunny,2013-05-01,10:00,Ho_Chi_Minh_City,0.2,29.0,0.5
dataset\cloudy\Ho_Chi_Minh_City_2013-04-26.jpg,cloudy,2013-04-26,10:00,Ho_Chi_Minh_City,0.1,93.0,1.17
dataset\cloudy\Ho_Chi_Minh_City_2013-04-28.jpg,cloudy,2013-04-28,10:00,Ho_Chi_Minh_City,0.0,91.0,1.58
dataset\rainy\Quang_Nam_2013-09-26.jpg,rainy,2013-09-26,10:00,Quang_Nam,4.5,100.0,0.89
dataset\cloudy\Ho_Chi_Minh_City_2013-04-27.jpg,cloudy,2013-04-27,10:00,Ho_Chi_Minh_City,0.0,99.0,0.14
dataset\sunny\Ho_Chi_Minh_City_2013-05-03.jpg,sunny,2013-05-03,10:00,Ho_Chi_Minh_City,0.0,42.0,2.11
dataset\rainy\Quang_Nam_2013-10-02.jpg,rainy,2013-10-02,10:00,Quang_Nam,2.4,100.0,1.17
dataset\cloudy\Ho_Chi_Minh_City_2013-04-30.jpg,cloudy,2013-04-30,10:00,Ho_Chi_Minh_City,0.0,65.0,2.52
dataset\sunny\Ho_Chi_Minh_City_2013-05-02.jpg,sunny,2013-05-02,10:00,Ho_Chi_Minh_City,0.0,26.0,1.2
dataset\cloudy\Ho_Chi_Minh_City_2013-05-04.jpg,cloudy,2013-05-04,10:00,Ho_Chi_Minh_City,0.1,95.0,2.42
dataset\sunny\Ho_Chi_Minh_City_2013-05-05.jpg,sunny,2013-05-05,10:00,Ho_Chi_Minh_City,0.0,19.0,3.4
dataset\rainy\Quang_Nam_2013-10-03.jpg,rainy,2013-10-03,10:00,Quang_Nam,2.6,91.0,2.7
dataset\cloudy\Ho_Chi_Minh_City_2013-05-06.jpg,cloudy,2013-05-06,10:00,Ho_Chi_Minh_City,0.0,84.0,1.5
dataset\rainy\Quang_Nam_2013-11-07.jpg,rainy,2013-11-07,10:00,Quang_Nam,2.4,100.0,2.82
dataset\cloudy\Ho_Chi_Minh_City_2013-05-07.jpg,cloudy,2013-05-07,10:00,Ho_Chi_Minh_City,0.0,95.0,1.2
dataset\cloudy\Ho_Chi_Minh_City_2013-05-08.jpg,cloudy,2013-05-08,10:00,Ho_Chi_Minh_City,0.5,86.0,1.84
dataset\sunny\Ho_Chi_Minh_City_2013-06-07.jpg,sunny,2013-06-07,10:00,Ho_Chi_Minh_City,0.2,25.0,0.7
dataset\rainy\Quang_Nam_2013-11-17.jpg,rainy,2013-11-17,10:00,Quang_Nam,2.3,97.0,2.73
dataset\sunny\Ho_Chi_Minh_City_2013-06-26.jpg,sunny,2013-06-26,10:00,Ho_Chi_Minh_City,0.0,24.0,2.88
dataset\rainy\Quang_Nam_2013-12-14.jpg,rainy,2013-12-14,10:00,Quang_Nam,4.8,99.0,1.36
dataset\rainy\Quang_Nam_2014-09-01.jpg,rainy,2014-09-01,10:00,Quang_Nam,6.0,100.0,0.58
dataset\cloudy\Ho_Chi_Minh_City_2013-05-09.jpg,cloudy,2013-05-09,10:00,Ho_Chi_Minh_City,0.2,64.0,2.56
dataset\rainy\Quang_Nam_2014-09-24.jpg,rainy,2014-09-24,10:00,Quang_Nam,9.7,100.0,0.82
dataset\sunny\Ho_Chi_Minh_City_2013-06-28.jpg,sunny,2013-06-28,10:00,Ho_Chi_Minh_City,0.1,50.0,3.08
dataset\sunny\Ho_Chi_Minh_City_2013-06-29.jpg,sunny,2013-06-29,10:00,Ho_Chi_Minh_City,0.1,58.0,3.0
dataset\sunny\Ho_Chi_Minh_City_2013-06-30.jpg,sunny,2013-06-30,10:00,Ho_Chi_Minh_City,0.1,45.0,2.28
dataset\rainy\Quang_Nam_2015-07-14.jpg,rainy,2015-07-14,10:00,Quang_Nam,4.9,100.0,1.28
dataset\cloudy\Ho_Chi_Minh_City_2013-05-11.jpg,cloudy,2013-05-11,10:00,Ho_Chi_Minh_City,0.0,99.0,2.28
dataset\cloudy\Ho_Chi_Minh_City_2013-05-12.jpg,cloudy,2013-05-12,10:00,Ho_Chi_Minh_City,0.0,99.0,1.39
dataset\sunny\Ho_Chi_Minh_City_2013-07-10.jpg,sunny,2013-07-10,10:00,Ho_Chi_Minh_City,0.0,39.0,2.32
dataset\rainy\Quang_Nam_2015-09-14.jpg,rainy,2015-09-14,10:00,Quang_Nam,6.4,100.0,1.43
dataset\rainy\Quang_Nam_2015-10-11.jpg,rainy,2015-10-11,10:00,Quang_Nam,2.4,100.0,1.6
dataset\cloudy\Ho_Chi_Minh_City_2013-05-13.jpg,cloudy,2013-05-13,10:00,Ho_Chi_Minh_City,0.0,99.0,2.1
dataset\sunny\Ho_Chi_Minh_City_2013-07-11.jpg,sunny,2013-07-11,10:00,Ho_Chi_Minh_City,0.0,37.0,1.48
dataset\cloudy\Ho_Chi_Minh_City_2013-05-15.jpg,cloudy,2013-05-15,10:00,Ho_Chi_Minh_City,0.2,96.0,2.15
dataset\rainy\Quang_Nam_2015-12-16.jpg,rainy,2015-12-16,10:00,Quang_Nam,2.8,100.0,2.97
dataset\sunny\Ho_Chi_Minh_City_2013-07-30.jpg,sunny,2013-07-30,10:00,Ho_Chi_Minh_City,0.1,60.0,3.14
dataset\sunny\Ho_Chi_Minh_City_2013-08-04.jpg,sunny,2013-08-04,10:00,Ho_Chi_Minh_City,0.0,43.0,2.21
dataset\cloudy\Ho_Chi_Minh_City_2013-05-14.jpg,cloudy,2013-05-14,10:00,Ho_Chi_Minh_City,0.0,97.0,1.97
dataset\rainy\Quang_Ngai_2013-01-06.jpg,rainy,2013-01-06,10:00,Quang_Ngai,2.4,100.0,3.62
dataset\cloudy\Ho_Chi_Minh_City_2013-05-16.jpg,cloudy,2013-05-16,10:00,Ho_Chi_Minh_City,0.0,100.0,3.82
